county_id,GEOID,NAME,display_name
1,39001,Adams,Adams County
2,39003,Allen,Allen County
3,39005,Ashland,Ashland County
4,39007,Ashtabula,Ashtabula County
5,39009,Athens,Athens County
6,39011,Auglaize,Auglaize County
7,39013,Belmont,Belmont County
8,39015,Brown,Brown County
9,39017,Butler,Butler County
10,39019,Carroll,Carroll County
11,39021,Champaign,Champaign County
12,39023,Clark,Clark County
13,39025,Clermont,Clermont County
14,39027,Clinton,Clinton County
15,39029,Columbiana,Columbiana County
16,39031,Coshocton,Coshocton County
17,39033,Crawford,Crawford County
18,39035,Cuyahoga,Cuyahoga County
19,39037,Darke,Darke County
20,39039,Defiance,Defiance County
21,39041,Delaware,Delaware County
22,39043,Erie,Erie County
23,39045,Fairfield,Fairfield County
24,39047,Fayette,Fayette County
25,39049,Franklin,Franklin County
26,39051,Fulton,Fulton County
27,39053,Gallia,Gallia County
28,39055,Geauga,Geauga County
29,39057,Greene,Greene County
30,39059,Guernsey,Guernsey County
31,39061,Hamilton,Hamilton County
32,39063,Hancock,Hancock County
33,39065,Hardin,Hardin County
34,39067,Harrison,Harrison County
35,39069,Henry,Henry County
36,39071,Highland,Highland County
37,39073,Hocking,Hocking County
38,39075,Holmes,Holmes County
39,39077,Huron,Huron County
40,39079,Jackson,Jackson County
41,39081,Jefferson,Jefferson County
42,39083,Knox,Knox County
43,39085,Lake,Lake County
44,39087,Lawrence,Lawrence County
45,39089,Licking,Licking County
46,39091,Logan,Logan County
47,39093,Lorain,Lorain County
48,39095,Lucas,Lucas County
49,39097,Madison,Madison County
50,39099,Mahoning,Mahoning County
51,39101,Marion,Marion County
52,39103,Medina,Medina County
53,39105,Meigs,Meigs County
54,39107,Mercer,Mercer County
55,39109,Miami,Miami County
56,39111,Monroe,Monroe County
57,39113,Montgomery,Montgomery County
58,39115,Morgan,Morgan County
59,39117,Morrow,Morrow County
60,39119,Muskingum,Muskingum County
61,39121,Noble,Noble County
62,39123,Ottawa,Ottawa County
63,39125,Paulding,Paulding County
64,39127,Perry,Perry County
65,39129,Pickaway,Pickaway County
66,39131,Pike,Pike County
67,39133,Portage,Portage County
68,39135,Preble,Preble County
69,39137,Putnam,Putnam County
70,39139,Richland,Richland County
71,39141,Ross,Ross County
72,39143,Sandusky,Sandusky County
73,39145,Scioto,Scioto County
74,39147,Seneca,Seneca County
75,39149,Shelby,Shelby County
76,39151,Stark,Stark County
77,39153,Summit,Summit County
78,39155,Trumbull,Trumbull County
79,39157,Tuscarawas,Tuscarawas County
80,39159,Union,Union County
81,39161,Van Wert,Van Wert County
82,39163,Vinton,Vinton County
83,39165,Warren,Warren County
84,39167,Washington,Washington County
85,39169,Wayne,Wayne County
86,39171,Williams,Williams County
87,39173,Wood,Wood County
88,39175,Wyandot,Wyandot County
